,Satellite ID(Fake),Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Users,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
86,87,Starlink-1096,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AE,44942.0
87,88,Starlink-1097,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001C,44916.0
88,89,Starlink-1098,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001D,44917.0
89,90,Starlink-1099,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001E,44918.0
90,91,Starlink-1100,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AF,44943.0
91,92,Starlink-1101,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.6,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001F,44919.0
92,93,Starlink-1102,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001G,44920.0
93,94,Starlink-1103,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001H,44921.0
94,95,Starlink-1104,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001J,44922.0
95,96,Starlink-1105,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,91.2,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AS,45218.0
96,97,Starlink-1106,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001K,44923.0
97,98,Starlink-1107,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.5,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001BL,44972.0
98,99,Starlink-1108,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AG,44944.0
99,100,Starlink-1109,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AH,44945.0
100,101,Starlink-1110,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,550.0,0.00014452955629426219,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AJ,44946.0
101,102,Starlink-1111,BR (3/20),USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001L,44924.0
102,103,Starlink-1112,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001M,44925.0
103,104,Starlink-1113,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001N,44926.0
104,105,Starlink-1114,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001P,44927.0
105,106,Starlink-1115,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.6,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001BM,44973.0
106,107,Starlink-1116,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.6,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AK,44947.0
107,108,Starlink-1117,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AQ,44952.0
108,109,Starlink-1119,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001Q,44928.0
109,110,Starlink-1120,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.5,227.0,2020-01-29,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006B,45045.0
110,111,Starlink-1121,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001R,44929.0
